Y,DN,Y,Y,,DNS,Y,NR,T,,Y,Y,Y,friends,0,before
Y,Y,Y,Y,,Y,Y,Y,H,,,,,friends,0,after
Y,Y,Y,Y,Y,Y,Y,Y,T,,,N,Y,friends,medium,y
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,7,n
N,N,N,Y,,N,N,N,T,,,Y,Y,,0,before
Y,Y,Y,N,,N,Y,Y,T,,,Y,Y,friends,12,no
N,N,Y,Y,,N,N,N,T,,,Y,Y,friends,0,before
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,5,y
Y,Y,Y,N,,Y,Y,N,H,,,,,friends,0,n
N,Y,Y,Y,,Y,N,N,T,,,Y,Y,friends,12,n
Y,Y,Y,Y,,Y,N,N,T,,,Y,Y,friends,7,y
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,12,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,12,y
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,7,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,12,n
Y,Y,Y,N,Y,Y,Y,Y,T,,,Y,Y,friends,7,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,7,n
Y,Y,Y,Y,,DNS,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,Y,,Y,Y,Y,T,,,Y,Y,friends,0,y
Y,Y,Y,N,,Y,Y,Y,H,,,,,alone,,
Y,Y,Y,Y,,Y,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,7,n
Y,Y,Y,Y,Y,Y,Y,N,T,,,Y,Y,friends,7,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,12,n
Y,N,N,Y,,N,N,Y,T,,,Y,Y,friends,7,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,7,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,0,y
Y,Y,Y,Y,,Y,Y,Y,H,,,,,alone,0,n
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,12,y
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,N,,Y,Y,N,T,,,Y,Y,friends,0,before
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,2,n
Y,Y,Y,N,,Y,Y,Y,T,,,Y,Y,friends,8,y
