"Y","Y","Y","N",,"Y","DN","N","TV",,,,,"friends",,
"Y","DN","Y","N","Some",,"DN","N","online",,,,,"alone",,
,"Y","Y","N","Y","Y","DN","N","theatre",,,"somewhat","Y","friends",12,
"Y","Y",,,,"Y","DN","N","theatre",,,"somewhat","Y","friends",12,
"N","N","Y","N",,"N","DN","N","online",,,,,"friends",,
"Y","DN","Y","N",,"Y","DN","N","online",,,,,"alone",,
"Y","Y","Y","N",,"Y","DN","Y","online",,,,,"alone",,
"Y","Y","Y","N",,"Y","DN","Y","theatre",,,"Y","Y","date",7,"N"
"Y","Y","Y","N",,"Y","DN",,"theatre",,,,,"date",,
"Y","Y","Y","N",,"Y","DN",,"theatre",,,,,"date",,
"Y","Y","Y","N",,"Y","DN",,"theatre",,,"somewhat","Y","friends",,
,"Y","N","N",,,,"Y","online",,,,,"alone",,
"Y","Y","Y","N","N",,,"Y","online",,,,,"alone",,
"N",,"Y","N",,"Y","DN","N","theatre",,,"somewhat","Y","friends",12,
"Y",,,,,,,,"online",,,,,"alone",,
"Y",,"Y","N",,,,,"online",,,,,"alone",,
"N","N","Y","Y",,"N",,,"online",,,,,,,
"Y","Y","Y","N",,"Y",,,"online",,,,,,,
